time,key,event
1718123781.0857186,Key.shift,p
1718123781.483087,'T',p
1718123781.5618875,'T',r
1718123781.610991,Key.shift,r
1718123781.6898363,'h',p
1718123781.7533514,'h',r
1718123781.9129827,'i',p
1718123782.0078151,'i',r
1718123782.0882666,'s',p
1718123782.230368,'s',r
1718123782.230368,Key.space,p
1718123782.2935278,Key.space,r
1718123782.4050226,'i',p
1718123782.467693,'i',r
1718123782.5320454,'s',p
1718123782.6273184,'s',r
1718123782.6434257,Key.space,p
1718123782.723862,Key.space,r
1718123783.0410163,'t',p
1718123783.1364255,'t',r
1718123783.2312224,'h',p
1718123783.3119986,'h',r
1718123783.4552646,Key.space,p
1718123783.549365,Key.space,r
1718123783.6603217,'e',p
1718123783.7404504,'e',r
1718123785.8003027,'d',p
1718123785.9196084,'d',r
1718123785.99123,'i',p
1718123786.0552678,'i',r
1718123786.2126446,'t',p
1718123786.3239756,'t',r
1718123786.4032261,Key.space,p
1718123786.4669635,Key.space,r
1718123787.2781184,'w',p
1718123787.3419347,'w',r
1718123787.3886898,'h',p
1718123787.4683182,'h',r
1718123787.6283653,'e',p
1718123787.827189,'e',r
1718123787.9153144,'r',p
1718123788.0102527,'r',r
1718123788.0889096,'e',p
1718123788.2005014,'e',r
1718123788.2491953,Key.space,p
1718123788.3289907,Key.space,r
1718123789.1526818,'i',p
1718123789.2338164,'i',r
1718123789.3574064,Key.space,p
1718123789.436153,Key.space,r
1718123789.5786295,'c',p
1718123789.6739528,'c',r
1718123789.8157394,'a',p
1718123789.927282,'a',r
1718123789.936912,'n',p
1718123790.0069115,'n',r
1718123790.1178048,Key.space,p
1718123790.2278748,Key.space,r
1718123790.8627274,'b',p
1718123790.9256227,'b',r
1718123791.462388,'u',p
1718123791.5256314,'u',r
1718123791.7157767,'y',p
1718123791.8103034,'y',r
1718123791.8584309,Key.space,p
1718123791.9543104,Key.space,r
1718123792.0497403,'m',p
1718123792.1599407,'m',r
1718123792.3185627,'y',p
1718123792.3972623,'y',r
1718123792.6654446,Key.space,p
1718123792.7457576,Key.space,r
