time,key,event
1718126024.1683776,Key.shift,p
1718126024.6750033,Key.shift,p
1718126024.7067451,Key.shift,p
1718126024.7382464,Key.shift,p
1718126024.755207,Key.shift,p
1718126024.7853558,'T',p
1718126024.8644137,'T',r
1718126024.9269576,Key.shift,r
1718126025.1005323,'h',p
1718126025.17993,'h',r
1718126025.337333,'i',p
1718126025.4011767,'i',r
1718126025.4808834,'s',p
1718126025.575553,'s',r
1718126025.6073158,Key.space,p
1718126025.6877446,Key.space,r
1718126025.798902,'i',p
1718126025.8799493,'i',r
1718126025.9419117,'s',p
1718126026.0057766,'s',r
1718126026.059911,Key.space,p
1718126026.11779,Key.space,r
1718126026.2755148,'t',p
1718126026.3386242,'t',r
1718126026.466858,'h',p
1718126026.5450807,'h',r
1718126026.5773225,'e',p
1718126026.6874356,'e',r
1718126026.7659502,Key.space,p
1718126026.84474,Key.space,r
1718126026.9632964,'b',p
1718126027.0349407,'b',r
1718126027.0636132,'e',p
1718126027.1777785,'e',r
1718126027.273851,'s',p
1718126027.416018,'s',r
1718126027.4625125,'t',p
1718126027.5275633,'t',r
1718126027.665344,Key.space,p
1718126027.6870034,Key.space,r
1718126029.2234623,'t',p
1718126029.349437,'t',r
1718126029.3984814,'i',p
1718126029.5080516,'i',r
1718126029.5555232,'m',p
1718126029.618812,'m',r
1718126029.7141707,'e',p
1718126029.7944343,'e',r
1718126029.8887875,Key.space,p
1718126029.96656,Key.space,r
1718126030.3141716,'t',p
1718126030.4245362,'t',r
1718126030.440612,'o',p
1718126030.5198026,'o',r
1718126030.630214,Key.space,p
1718126030.7088947,Key.space,r
1718126030.932517,'t',p
1718126031.0130072,'t',r
1718126031.1376624,'r',p
1718126031.2169528,'r',r
1718126031.2332234,'a',p
1718126031.3756928,'a',r
1718126031.6617486,'l',p
1718126031.7408702,'l',r
1718126031.8054416,'e',p
1718126031.8852787,'e',r
1718126032.1869714,'v',p
1718126032.2653723,'v',r
1718126032.3778534,Key.space,p
1718126032.4382498,Key.space,r
1718126032.5980039,'a',p
1718126032.7398174,'a',r
1718126032.7553997,'n',p
1718126032.8188164,'n',r
1718126033.2802665,Key.backspace,p
1718126033.3568764,Key.backspace,r
1718126033.4667666,'r',p
1718126033.5807896,'r',r
1718126033.6091385,'o',p
1718126033.7506647,'o',r
1718126033.7829523,'u',p
1718126033.8930316,'u',r
1718126034.0357823,'n',p
1718126034.1298344,'n',r
1718126034.209296,'t',p
1718126034.3194413,'t',r
1718126034.3666615,Key.space,p
1718126034.4611676,Key.space,r
1718126035.0308776,Key.backspace,p
1718126035.093532,Key.backspace,r
1718126035.1575575,Key.backspace,p
1718126035.236544,Key.backspace,r
1718126035.2526486,'d',p
1718126035.347193,'d',r
1718126035.4578333,Key.space,p
1718126035.553029,Key.space,r
1718126035.7119074,'t',p
1718126035.7916055,'t',r
1718126035.8897994,'h',p
1718126035.9814582,'h',r
1718126036.0454128,'e',p
1718126036.1245143,'e',r
1718126036.171939,Key.space,p
1718126036.2507505,Key.space,r
1718126036.502509,'w',p
1718126036.628998,'w',r
1718126036.693131,'o',p
1718126036.7558622,'o',r
1718126036.8818774,'r',p
1718126036.9604905,'r',r
1718126037.2303867,'d',p
1718126037.2947586,'d',r
1718126037.418979,'l',p
1718126037.5141804,'l',r
1718126038.0081909,Key.backspace,p
1718126038.07121,Key.backspace,r
1718126038.150854,Key.backspace,p
1718126038.246759,Key.backspace,r
1718126039.0846999,'l',p
1718126039.163277,'d',p
1718126039.1790702,'l',r
1718126039.2730153,'d',r
1718126041.5751922,'.',p
1718126041.6230474,'.',r
1718126041.8771176,Key.space,p
1718126041.9719493,Key.space,r
1718126042.5100515,Key.shift,p
1718126042.6849923,Key.space,p
1718126042.6849923,'B',p
1718126042.7005672,Key.space,r
1718126042.7166383,'B',r
1718126042.7328084,Key.shift,r
1718126042.874809,'u',p
1718126042.984534,'u',r
1718126043.0938663,'t',p
1718126043.2366686,'t',r
1718126043.2850077,Key.space,p
1718126043.3968952,Key.space,r
1718126043.5239403,Key.shift,p
1718126043.666466,'S',p
1718126043.7790158,Key.shift,r
1718126043.819381,'s',r
1718126044.000288,'t',p
1718126044.095165,'t',r
1718126044.1743557,'a',p
1718126044.3015687,'a',r
1718126044.4283066,'y',p
1718126044.506444,'y',r
1718126044.6636026,Key.space,p
1718126044.743315,Key.space,r
1718126044.8550632,'f',p
1718126044.9354358,'f',r
1718126044.9669564,'o',p
1718126045.0458705,'o',r
1718126045.187571,'c',p
1718126045.3131664,'c',r
1718126045.4252944,'u',p
1718126045.5021753,'u',r
1718126045.9306777,'s',p
1718126046.0286772,'s',r
1718126046.1293743,'e',p
1718126046.218122,'e',r
1718126046.4078555,'d',p
1718126046.4711158,'d',r
